Route ID,Timepoint Stop Name,Timepoint Stop Latitude,Timepoint Stop Longitude,Timepoint Stop Georeference
S53,CASTLETON AV/JEWETT AV,40.633639,-74.129649,POINT (-74.129649 40.633639)
BX8,CROSBY AV/BRUCKNER BL,40.834671,-73.826413,POINT (-73.826413 40.834671)
B57,COURT ST/W 9 ST,40.674938,-73.999538,POINT (-73.999538 40.674938)
M55,AV OF THE AMERICAS/W 31 ST,40.747987,-73.988909,POINT (-73.988909 40.747987)
Q29,QUEENS BL /59 AV,40.734028,-73.870895,POINT (-73.870895 40.734028)
M103,3 AV/E 23 ST,40.739218,-73.982771,POINT (-73.982771 40.739218)
BM2,CORTELYOU RD / WESTMINSTER RD,40.639883,-73.967187,POINT (-73.967187 40.639883)
Q16,FRANCIS LEWIS BL/28 AV,40.771804,-73.794236,POINT (-73.794236 40.771804)
M11,9 AV/W 42 ST,40.758584,-73.992665,POINT (-73.992665 40.758584)
Q32,QUEENS PLZ S/28 ST,40.749724,-73.938817,POINT (-73.938817 40.749724)
X63,E 57 ST/PARK AV,40.761777,-73.971002,POINT (-73.971002 40.761777)
B63,SHORE RD/83 ST,40.627897,-74.039898,POINT (-74.039898 40.627897)
SIM34,BATTERY PL/WASHINGTON ST,40.704787,-74.015502,POINT (-74.015502 40.704787)
Q39,48 AV/GREENPOINT AV,40.739984,-73.92465,POINT (-73.92465 40.739984)
B82,SEAVIEW AV / PENNSYLVANIA AV,40.643015,-73.878354,POINT (-73.878354 40.643015)
Q53+,BEACH 116 ST/ROCKAWAY BEACH BL,40.580343,-73.837347,POINT (-73.837347 40.580343)
B4,KNAPP ST/HARKNESS AV,40.58644,-73.93159,POINT (-73.93159 40.58644)
SIM24,5 AV/W 59 ST,40.764227,-73.973142,POINT (-73.973142 40.764227)
BX33,W 135 ST/ST NICHOLAS AV,40.816986,-73.947789,POINT (-73.947789 40.816986)
QM10,63 RD/98 PL,40.7323,-73.858097,POINT (-73.858097 40.7323)
BXM18,W 230 ST/BROADWAY,40.877103,-73.907057,POINT (-73.907057 40.877103)
Q76,FRANCIS LEWIS BL/HORACE HARDING EXP,40.744051,-73.775939,POINT (-73.775939 40.744051)
S66,CLOVE RD/TIOGA ST,40.612501,-74.099556,POINT (-74.099556 40.612501)
Q32,E 60 ST/2 AV,40.761513,-73.964418,POINT (-73.964418 40.761513)
BX40,E TREMONT AVE / ROOSEVELT AVE,40.825678,-73.821224,POINT (-73.821224 40.825678)
SIM4C,ELTINGVILLE/TRANSIT CENTER,40.560986,-74.171394,POINT (-74.171394 40.560986)
Q31,32 AV/208 ST,40.771828,-73.78195,POINT (-73.78195 40.771828)
SIM30,W 42 ST/8 AV,40.757191,-73.989904,POINT (-73.989904 40.757191)
S96,INNIS ST/NICHOLAS AV,40.633424,-74.14175,POINT (-74.14175 40.633424)
SIM2,HYLAN BL/HUGUENOT AV,40.523955,-74.186502,POINT (-74.186502 40.523955)
S81,BAY ST/ST JOHNS AV,40.611925,-74.064632,POINT (-74.064632 40.611925)
Q7,ROCKAWAY BL/SUTPHIN BL,40.673206,-73.788318,POINT (-73.788318 40.673206)
M10,BROADWAY/W 63 ST,40.770882,-73.982338,POINT (-73.982338 40.770882)
